86,4190476191
95,4285714286
85,580952381
84,8380952381
87,4857142857
94,1714285714
87,0476190476
81,3523809524
86,0380952381
81,4666666667
81,180952381
79,180952381
87,3904761905
81,2380952381
82,5714285714
86,7238095238
89,4666666667
80,2666666667
92,0952380952
86,6666666667
89,8476190476
82,6285714286
86,3428571429
81,8095238095
80,4380952381
88,1142857143
83,2952380952
81,5238095238
84,3428571429
83,1428571429
88,9333333333
89,8285714286
82,9523809524
85,8857142857
80,5333333333
80,7428571429
85,8857142857
92,2857142857
87,6380952381
92,6285714286
81,619047619
84,6666666667
85,0285714286
86,2666666667
87,2761904762
84,2095238095
81,6952380952
84,8380952381
82,6857142857
85,0285714286
82,0190476191
88,4952380952
85,1428571429
83,3714285714
88,1714285714
85,2
86,1904761905
84,1714285714
87,219047619
86,6285714286
84,7238095238
85,7142857143
82,9714285714
83,4666666667
88,2095238095
85,580952381
85,2380952381
81,3142857143
86,4380952381
82,6095238095
83,7523809524
84,3619047619
82,4380952381
85,1428571429
86,3428571429
83,2761904762
86,1523809524
84,6476190476
85,2761904762
87,4095238095
83,980952381
87,2380952381
80,9142857143
81,9619047619
84,6666666667
81,4285714286
85,7142857143
83,9428571429
90,019047619
85,5428571429
87,4857142857
82,8380952381
85,8285714286
84,5142857143
83,4476190476
87,2571428571
87,2952380952
81,6
85,3714285714
83,9238095238
